"STATE","FLOOD_CAUSE","BEGIN_DATE_TIME","END_DATE_TIME"
"Arkansas","Heavy Rain","2020/1/11","2020/1/11"
"Oklahoma","Heavy Rain","2020/1/11","2020/1/11"
"Oklahoma","Heavy Rain","2020/1/11","2020/1/12"
"Oklahoma","Heavy Rain","2020/1/11","2020/1/13"
"South Carolina","Heavy Rain","2020/1/13","2020/1/13"
"Oklahoma","Heavy Rain","2020/1/10","2020/1/11"
"Iowa","Heavy Rain","2020/3/27","2020/3/28"
"Missouri","Heavy Rain","2020/3/19","2020/3/19"
"Oklahoma","Heavy Rain","2020/3/18","2020/3/18"
"Oklahoma","Heavy Rain","2020/3/19","2020/3/19"
"Texas","Heavy Rain","2020/3/4","2020/3/4"
"Arkansas","Heavy Rain","2020/3/12","2020/3/12"
"Missouri","Heavy Rain","2020/3/2","2020/3/2"
"Kentucky","Heavy Rain","2020/3/12","2020/3/12"
"Kentucky","Heavy Rain","2020/3/28","2020/3/28"
"Delaware","Heavy Rain","2020/8/4","2020/8/4"
"Virginia","Heavy Rain","2020/3/25","2020/3/25"
"West Virginia","Heavy Rain","2020/3/13","2020/3/13"
"Illinois","Heavy Rain","2020/3/12","2020/3/12"
"Arkansas","Heavy Rain","2020/3/1","2020/3/31"
"Arkansas","Heavy Rain","2020/3/1","2020/3/5"
"Arkansas","Heavy Rain","2020/3/1","2020/3/3"
"Arkansas","Heavy Rain","2020/3/1","2020/3/13"
"Oklahoma","Heavy Rain","2020/3/19","2020/3/20"
"Texas","Heavy Rain","2020/3/15","2020/3/15"
"Texas","Heavy Rain","2020/3/21","2020/3/21"
"Pennsylvania","Heavy Rain","2020/3/1","2020/3/31"
"Missouri","Heavy Rain","2020/3/24","2020/3/24"
"Missouri","Heavy Rain","2020/7/30","2020/7/30"
"Missouri","Heavy Rain","2020/7/31","2020/7/31"
"Missouri","Heavy Rain","2020/3/19","2020/3/20"
"Missouri","Heavy Rain","2020/3/20","2020/3/21"
"Missouri","Heavy Rain","2020/3/21","2020/3/22"
"Illinois","Heavy Rain","2020/3/20","2020/3/31"
"Illinois","Heavy Rain","2020/3/18","2020/3/31"
"Illinois","Heavy Rain","2020/3/28","2020/3/29"
"Ohio","Heavy Rain","2020/3/19","2020/3/20"
"Arkansas","Heavy Rain","2020/1/11","2020/1/31"
"Arkansas","Heavy Rain","2020/1/13","2020/1/31"
"Alabama","Heavy Rain","2020/3/24","2020/3/24"
"Kansas","Heavy Rain","2020/3/14","2020/3/14"
"Montana","Heavy Rain / Snow Melt","2020/3/31","2020/3/31"
"California","Heavy Rain","2020/8/18","2020/8/18"
"Missouri","Heavy Rain","2020/3/20","2020/3/20"
"Indiana","Heavy Rain","2020/3/21","2020/3/31"
"Arkansas","Heavy Rain","2020/3/14","2020/3/31"
"Arkansas","Heavy Rain","2020/3/17","2020/3/31"
"Arkansas","Heavy Rain","2020/3/15","2020/3/29"
"Arkansas","Heavy Rain","2020/3/19","2020/3/19"
"Arkansas","Heavy Rain","2020/3/23","2020/3/31"
"Arkansas","Heavy Rain","2020/3/19","2020/3/23"
"Arkansas","Heavy Rain","2020/3/19","2020/3/25"
"Kentucky","Heavy Rain","2020/3/2","2020/3/3"
"Arkansas","Heavy Rain","2020/1/12","2020/1/12"
"Alaska","Heavy Rain","2020/6/22","2020/6/24"
"Missouri","Heavy Rain","2020/1/10","2020/1/11"
"Missouri","Heavy Rain","2020/6/3","2020/6/4"
"Missouri","Heavy Rain","2020/3/14","2020/3/15"
"Missouri","Heavy Rain","2020/3/16","2020/3/16"
"Indiana","Heavy Rain","2020/3/20","2020/3/31"
"Arkansas","Heavy Rain","2020/3/31","2020/3/31"
"Ohio","Heavy Rain","2020/3/20","2020/3/22"
"Kentucky","Heavy Rain","2020/3/3","2020/3/3"
"Arkansas","Heavy Rain","2020/1/12","2020/1/26"
"Arkansas","Heavy Rain","2020/1/11","2020/1/12"
"Alabama","Heavy Rain","2020/3/25","2020/3/25"
"Indiana","Heavy Rain","2020/3/19","2020/3/31"
"Kentucky","Heavy Rain","2020/3/21","2020/3/31"
"Kentucky","Heavy Rain","2020/3/23","2020/3/31"
"Georgia","Heavy Rain","2020/1/13","2020/1/13"
"Missouri","Heavy Rain","2020/3/11","2020/3/11"
"Missouri","Heavy Rain","2020/3/15","2020/3/15"
"Missouri","Heavy Rain","2020/3/13","2020/3/14"
"Missouri","Heavy Rain","2020/3/14","2020/3/14"
"Kentucky","Heavy Rain","2020/3/20","2020/3/31"
"Missouri","Heavy Rain","2020/3/21","2020/3/31"
"Missouri","Heavy Rain","2020/3/18","2020/3/31"
"Ohio","Heavy Rain","2020/3/1","2020/3/31"
"North Dakota","Heavy Rain / Snow Melt","2020/3/31","2020/3/31"
"Alabama","Heavy Rain","2020/3/23","2020/3/23"
"Missouri","Heavy Rain","2020/3/2","2020/3/3"
"Arkansas","Heavy Rain","2020/1/1","2020/1/7"
"Wisconsin","Heavy Rain / Snow Melt","2020/3/28","2020/3/31"
"Nevada","Heavy Rain","2020/3/12","2020/3/13"
"Alabama","Heavy Rain","2020/3/23","2020/3/30"
"California","Heavy Rain","2020/3/10","2020/3/11"
"Arkansas","Heavy Rain","2020/1/2","2020/1/31"
"Arkansas","Heavy Rain","2020/1/19","2020/1/31"
"Illinois","Heavy Rain","2020/5/24","2020/5/24"
"Illinois","Heavy Rain","2020/6/22","2020/6/22"
"Missouri","Heavy Rain","2020/6/22","2020/6/22"
"Texas","Heavy Rain","2020/3/18","2020/3/18"
"Texas","Heavy Rain","2020/3/18","2020/3/19"
"New Mexico","Heavy Rain / Burn Area","2020/7/4","2020/7/4"
"New Mexico","Heavy Rain / Burn Area","2020/7/19","2020/7/19"
"New Mexico","Heavy Rain","2020/7/19","2020/7/19"
"Georgia","Heavy Rain","2020/3/5","2020/3/5"
"Georgia","Heavy Rain","2020/3/4","2020/3/5"
"Illinois","Heavy Rain","2020/3/1","2020/3/31"
"Illinois","Heavy Rain","2020/3/19","2020/3/31"
"Illinois","Heavy Rain","2020/3/23","2020/3/31"
"Illinois","Heavy Rain","2020/3/21","2020/3/31"
"Arkansas","Heavy Rain","2020/1/12","2020/1/14"
"South Dakota","Heavy Rain / Snow Melt","2020/3/1","2020/3/31"
"Kentucky","Heavy Rain","2020/3/3","2020/3/8"
"Kentucky","Heavy Rain","2020/3/15","2020/3/31"
"Kentucky","Heavy Rain","2020/3/20","2020/3/30"
"Missouri","Heavy Rain","2020/3/1","2020/3/1"
"California","Heavy Rain","2020/3/12","2020/3/13"
"Arkansas","Heavy Rain","2020/1/11","2020/1/13"
"Arkansas","Heavy Rain","2020/1/16","2020/1/31"
"South Dakota","Heavy Rain / Snow Melt","2020/3/8","2020/3/31"
"South Dakota","Heavy Rain / Snow Melt","2020/3/13","2020/3/20"
"Utah","Heavy Rain","2020/3/13","2020/3/13"
"Texas","Heavy Rain","2020/3/21","2020/3/24"
"Georgia","Heavy Rain","2020/3/4","2020/3/4"
"Georgia","Heavy Rain","2020/3/5","2020/3/6"
"Arizona","Heavy Rain / Snow Melt","2020/3/12","2020/3/13"
"Arizona","Heavy Rain","2020/3/19","2020/3/20"
"Kentucky","Heavy Rain","2020/3/13","2020/3/13"
"Texas","Heavy Rain","2020/3/26","2020/3/30"
"Indiana","Heavy Rain","2020/3/28","2020/3/28"
"South Dakota","Heavy Rain / Snow Melt","2020/3/9","2020/3/22"
"South Dakota","Heavy Rain / Snow Melt","2020/3/7","2020/3/10"
"South Dakota","Heavy Rain / Snow Melt","2020/3/9","2020/3/31"
"Georgia","Dam / Levee Break","2020/3/4","2020/3/4"
"Montana","Heavy Rain / Snow Melt","2020/3/1","2020/3/2"
"Montana","Heavy Rain / Snow Melt","2020/3/6","2020/3/11"
"Tennessee","Heavy Rain","2020/3/3","2020/3/3"
"Georgia","Heavy Rain","2020/3/1","2020/3/1"
"California","Heavy Rain","2020/3/23","2020/3/23"
"Wisconsin","Heavy Rain / Snow Melt","2020/3/1","2020/3/31"
"Oklahoma","Heavy Rain","2020/3/19","2020/3/21"
"Oklahoma","Heavy Rain","2020/3/19","2020/3/22"
"Montana","Heavy Rain / Snow Melt","2020/3/7","2020/3/12"
"Montana","Heavy Rain / Snow Melt","2020/3/10","2020/3/11"
"Indiana","Heavy Rain","2020/3/28","2020/3/29"
"California","Heavy Rain","2020/3/25","2020/3/25"
"Illinois","Heavy Rain","2020/3/19","2020/3/19"
"South Dakota","Heavy Rain","2020/1/1","2020/1/31"
"Indiana","Heavy Rain","2020/3/19","2020/3/19"
"Illinois","Heavy Rain","2020/3/20","2020/3/22"
"Virginia","Heavy Rain","2020/8/4","2020/8/4"
"Missouri","Heavy Rain","2020/5/4","2020/5/4"
"Missouri","Heavy Rain","2020/5/25","2020/5/25"
