"EVENT_ID","LOCATION","LATITUDE","LONGITUDE"
893653,"Scenic",43.71,-102.37
893655,"Philip",44.02,-101.93
893656,"Midland",44.17,-101.17
893659,"Parmelee",43.23,-101.2
893660,"Parmelee",43.32,-101.1394
893663,"Harrington",43.01,-101.25
893672,"Camp Crook",45.6436,-103.9246
893673,"Camp Crook",45.65,-103.95
893674,"Ladner",45.69,-103.84
893675,"Ladner",45.83,-103.6885
893677,"Ludlow",45.94,-103.49
893680,"Winner Airport",43.39,-99.84
893684,"Red Elm",45.0545,-101.8089
893685,"Red Elm",45.0102,-101.9603
893686,"Faith Arpt",45.03,-102.02
893687,"St Francis",43.07,-100.81
893688,"Mission",43.06,-100.51
893689,"Mission",43.09,-100.53
893690,"Mission",43.09,-100.53
893695,"Gillette",44.29,-105.5
893696,"Gillette",44.2633,-105.4845
893697,"Gillette",44.2845,-105.4813
893698,"Gillette",44.2755,-105.5
893699,"Gillette",44.2466,-105.5
893700,"Gillette",44.2633,-105.4845
893701,"Wright",43.93,-105.45
893706,"Hot Springs",43.43,-103.4003
893710,"Custer",43.771,-103.573
893715,"Custer",43.77,-103.6
904934,"Custer",43.8,-103.6
904934,"Custer",43.78,-103.51
904934,"Custer",43.73,-103.51
904934,"Custer",43.76,-103.6
893725,"Carter",43.3391,-100.1437
894006,"Earth",34.1802,-102.5455
894011,"Wolfforth",33.4198,-102.0598
894012,"Abernathy",33.8577,-101.7695
894014,"New Home",33.32,-101.92
894015,"Tahoka",33.2201,-101.7601
894016,"Graham Chapel",33.0815,-101.5162
894017,"Brownfield",33.18,-102.28
895979,"Brushy",42.45,-94
895980,"Titonka",43.24,-94.04
895981,"Dakota City",42.73,-94.22
895982,"Dakota City",42.72,-94.2
895983,"Murray",41.04,-93.98
895992,"Evansdale",42.46,-92.28
895993,"Evansdale",42.46,-92.3
895994,"Waterloo",42.49,-92.32
895998,"Iowa Falls Muni Arpt",42.49,-93.26
895999,"Iowa Falls",42.52,-93.27
896005,"Unique",42.69,-94.37
896006,"Dakota City",42.72,-94.21
896007,"Unique",42.72,-94.3
896009,"Dakota City",42.68,-94.21
896010,"Farlin",42.08,-94.48
896011,"Jefferson",42.02,-94.38
896012,"Bouton",41.85,-94.01
896013,"Dallas Center",41.69,-93.96
896014,"Ashawa",41.57,-93.77
896015,"West Des Moines",41.57,-93.7
896016,"Ashawa",41.58,-93.77
896017,"Urbandale",41.64,-93.74
878689,"Saluca",34.196,-82.073
878689,"Cokesbury",34.274,-82.221
878689,"Hughs Store",34.382,-82.268
878690,"Shoals Jct",34.377,-82.281
878690,"Hodges",34.253,-82.265
878690,"Domicks",34.125,-82.08
878690,"Godsey",34.135,-81.994
878690,"Saluca",34.196,-82.073
878690,"Cokesbury",34.274,-82.221
878690,"Hughs Store",34.382,-82.268
879188,"Inman",35.0879,-82.08
879189,"Leeds",34.5877,-81.3974
879189,"Mc Keown",34.6164,-81.2492
879189,"Lowrys",34.8001,-81.2602
879189,"Wilksburg",34.8027,-81.4092
874645,"Clarkesville",34.622,-83.528
874645,"Tagula Camp",34.61,-83.542
874645,"Habersham",34.59,-83.561
874645,"Demorest",34.586,-83.552
874645,"Clarkesville",34.621,-83.525
874648,"Clarkesville",34.622,-83.528
874648,"Tagula Camp",34.61,-83.542
874648,"Habersham",34.59,-83.561
874648,"Demorest",34.586,-83.552
874648,"Clarkesville",34.621,-83.525
875674,"Shoal Creek",34.439,-83.052
875674,"Maretts",34.423,-82.967
875674,"Hartwll Fshr Farm Ar",34.325,-82.852
875674,"Goldmine",34.251,-83.012
875676,"Harper",34.199,-82.989
875676,"North Elberton",34.141,-82.863
875676,"North Elberton",34.151,-82.863
875676,"Harper",34.209,-82.98
881756,"Whistleville",34.03,-83.7029
881756,"Whistleville",34.0361,-83.7085
881760,"Hickory Flat",34.18,-84.35
881760,"Hickory Flat",34.1785,-84.3552
881760,"Hickory Flat",34.1751,-84.3535
881760,"Hickory Flat",34.1754,-84.3468
881760,"Hickory Flat",34.1794,-84.3459
881763,"Birmingham",34.16,-84.33
881763,"Birmingham",34.159,-84.341
881763,"Birmingham",34.1714,-84.3416
881763,"Birmingham",34.1701,-84.3258
881763,"Birmingham",34.1609,-84.3243
881767,"Birmingham",34.1745,-84.2698
881767,"Birmingham",34.1765,-84.2702
881767,"Birmingham",34.176,-84.2623
881767,"Birmingham",34.1743,-84.2571
881767,"Birmingham",34.1672,-84.2674
881767,"Birmingham",34.1682,-84.2709
881770,"Blue Ridge",34.86,-84.32
881770,"Blue Ridge",34.8574,-84.3185
881770,"Blue Ridge",34.8577,-84.3149
881770,"Blue Ridge",34.8606,-84.3151
881770,"Blue Ridge",34.861,-84.3166
881772,"Wright Mill",34.8958,-84.1945
881772,"Wright Mill",34.8967,-84.1883
881772,"Wright Mill",34.8931,-84.1853
881772,"Hemp",34.8868,-84.1826
881772,"Wright Mill",34.8867,-84.1927
881773,"Roswell",34.0077,-84.377
881773,"Roswell",34.0084,-84.3724
881773,"Roswell",34.0024,-84.3675
881773,"Roswell",33.9992,-84.37
881773,"Roswell",33.9979,-84.3825
881773,"Roswell",34.0024,-84.3866
881773,"Roswell",34.0067,-84.3845
881774,"Ruden",34.46,-84.44
881774,"Ruden",34.4612,-84.4339
881774,"Ruden",34.4591,-84.4332
881774,"Jasper Pickens Co Ar",34.4551,-84.4376
881774,"Jasper Pickens Co Ar",34.4546,-84.4408
881774,"Jasper Pickens Co Ar",34.458,-84.4424
881778,"Birmingham",34.17,-84.28
881778,"Birmingham",34.1765,-84.2826
881778,"Birmingham",34.1653,-84.291
