"FATALITY_ID","EVENT_ID","FATALITY_DATE","FATALITY_AGE","FATALITY_SEX","FATALITY_LOCATION","FATALITY_MONTH"
45799,994196,2021-12-10,30,"F","Long Span Roof","December"
45800,994196,2021-12-15,35,"M","Long Span Roof","December"
45808,994196,2021-12-10,7,"F","Mobile/Trailer Home","December"
44282,978387,2021-07-14,29,"F","Camping","July"
44417,978959,2021-08-29,60,"M","Permanent Home","August"
44418,978961,2021-09-13,69,"M","Permanent Home","September"
44419,978961,2021-09-13,85,"F","Permanent Home","September"
44394,978964,2021-09-01,59,"F","Permanent Home","September"
44395,978964,2021-09-02,17,"M","Permanent Home","September"
44396,978964,2021-09-02,23,"F","Permanent Home","September"
44397,978964,2021-09-02,54,"F","Permanent Home","September"
44393,978965,2021-08-29,65,"F","In Water","August"
44398,978980,2021-09-08,24,"M","Permanent Home","September"
